case_id,year,case_name,case_artist,case_title,case_role
293,2019,Zachry Brown v. Ryan Tedder,Zachry Brown,Nowhere Left to Go,complainer
294,2019,"Mark Halper v. Sony/ATV Music Publishing, LLC, et al.",Mark Halper,Don't Throw Our Love Away,complainer
295,2019,New Day Worldwide v. Taylor Swift,Jesse Graham,Haters gone Hate,complainer
296,2019,"[INPLAY] Key, et al. (""Yellowcard"") v. Higgins, et al. (""Juice WRLD"")","Ryan Key, et al. (""Yellowcard"")",Holly Wood Died,complainer
297,2019,Brown v. Netflix,"Tamita Brown, et al.",Fish Sticks n' Tater Tots (song),complainer
298,2019,Guity v. Santos,Nazim Guity,Eres Mia,complainer
299,2019,"Pickett v. Migos Touring, Inc., et al.","Leander C. Pickett (""M.O.S."")",Walk It Like I Talk It,complainer
300,2019,Stone v. Dudley,Sharon Stone,,complainer
301,2019,"Batiste v. Lewis, et al.",Paul Batiste,Hip Jazz; World of Blues; Salsa 4 Elise; I Got the Rhythm On,complainer
302,2019,[INPLAY] Richardson v. Kharbouch,Eddie Lee Richardson aka Hotwire the Producer,*Hood* Pushin’ Weight,complainer
303,2019,Hines v. Roc-A-Fella Records Inc. et al.,Ernie Hines,Help Me Put Out The Flame (In My Heart),complainer
304,2019,"Jefferson v. Raisen, et al.","Melissa Jefferson (""Lizzo"")",Truth Hurts,complainer
305,2019,Saregama India v. Balaji,Dada Kondke,Var Dhagala Lagli Kal,complainer
306,2020,Estate of James Oscar Smith v. Cash Money Records,Jimmy Smith,Jimmy Smith Rap,complainer
307,2020,"Yeasayer v. Tesfaye (""The Weeknd"")","Yeasayer, LLC",Sunrise,complainer
308,2020,Michael Skidmore v. Led Zeppelin,Randy Wolfe,Taurus,complainer
309,2020,"Marcus Gray, et al. v. Katy Perry","Marcus Gray, et al.",Joyful Noise,complainer
310,2020,[INPLAY] Armes v. Post,Tyler Armes,Circles,complainer
311,2020,[INPLAY] Gordon v. Chambers,"Seth Gordon (""Yung Gordon"")",Yung Gordon Intro,complainer
312,2020,"[INPLAY] Griffin v. Sheeran, et al.",Marvin Gaye,Let's Get It On,complainer
313,2020,"[INPLAY] Jackson v. Apple, Inc.",Darell Jackson,Side Show,complainer
314,2020,[INPLAY] Basil v. AMC,Toni Basil,Mickey,complainer
315,2020,"[INPLAY] Stines v. Knowles, et. al.",,,complainer
316,2020,"Jackson (""50 Cent"") v. Roberts","Curtis James Jackson (""50 Cent"")",In Da Club,complainer
317,2020,[INPLAY] Hayes v. Lamar,Terrance Hayes,,complainer
318,2020,Stone v. Grande,Josh Stone,"You Need It, I Got It",complainer
319,2020,Sheeran v. Chokri,Sam Chokri,Oh Why,complainer
320,2020,Structured Asset Sales v. Sheeran,Marvin Gaye,Let's Get It On,complainer
321,2020,"Norwood v. Quality Control Music, LLC",Barbara Norwood,Martian,complainer
322,2021,"Nwosuocha v. Glover, et al.",Emelike Nwosuocha,Made in America,complainer
323,2021,"[INPLAY] Cooper, et al. v. Brown, et al.",Mr. Cooper,I Love Your Dress,complainer
324,2021,"[INPLAY] Cates v. Shlemovitz, et al.",Cameron Cates,She Loves Her Job,complainer
325,2021,Robinson v. Wilburn,Gutta,When U Think About It,complainer
326,2021,Johannsongs-Publishing Ltd. v. Lovland,Jóhann Helgason,Söknuður,complainer
327,2021,[InPlay] Cleveland Constantine Browne et al. v. Rodney Sebastian Clark Donalds et al.,Cleveland Browne & Wycliffe Johnson,Fish Market,complainer
328,2021,"AOM Music, Inc v. Benito Antonio Martínez Ocasio (p/k/a Bad Bunny)","AOM Music, Inc.",Playero Works,complainer
329,2022,[INPLAY] Ultra v. West,Marshall Jefferson,Move Your Body,complainer
330,2022,Frisby v. Sony,G-Money,Shawty So Cold,complainer
331,2022,"Cope v. Dua Lipa, et al",Artikel Sound,Live Your Life,complainer
332,2022,[InPlay} Quinn et al v. Powell et al.,"Darwin Quinn, Mitchelle'l Sium,",Back N Forth,complainer
333,2022,[InPlay] Larball Publ'g Co. v. Lipa,"Russell Brown, Sandy Linzer",Wiggle and Giggle All Night,complainer
334,2022,[InPlay] Phase One Network v. Kanye West,"Lawrence Parker, Scott Sterling",South Bronx,complainer
335,2022,Moten v. Def Jam,Bishop David Paul Moten,Unspecified Sermon,complainer
336,2022,Patrick v. Poree,Yolanda Patrick,I Do What I Want,complainer
337,2022,Grigson v. Lopez,Daniel Grigson,That Girl,complainer
338,2022,Sound & Color v. Sam Smith,"Jordan Vincent, Christopher Miranda",Dancing with Strangers,complainer
339,2022,[InPlay] Third Side Music v. Evenflo Co.,Sofi Tukker,Best Friend,complainer
340,2023,Astley v. Hauri,Rick Astley,Never Gonna Give You Up,complainer
341,2023,Stone v. Carey,"Andy Stone, AKA Vinnie Vance",All I Want for Christmas is You,complainer
342,2023,[InPlay] Formal Entertainment v. Zayn Malik,"Patrick Simmons p/k/a ""Havyn""",Somebody Tonight,complainer
343,2023,"[InPlay] Darko v. Grahm, et al.",Obrafour,Oye Ohene,complainer
344,2023,"[InPlay] Concord Music Group, et al. v. Anthropic PBC","Concord Music, Universal Music Group and ABKCO Music",,complainer
345,2024,Chamberlain v. Dolo Entertainment,Duvall Chamberlain,In That Mood,complainer
346,2024,"Peabody & Company LLC v. Wayne, et al.",Greg Perry,Come On Down,complainer
347,2024,"Johnston v. Kroeger, et al.",Snowblind,Rockstar,complainer
0,1844,Millett v. Snowden,W. J. Wetmore,The Cot Beneath the Hill,defendant
1,1845,Reed v. Carusi,Samuel Carusi,The Old Arm Chair,defendant
2,1846,Ferrett v. Atwill,,,defendant
3,1850,Jollie v. Jacques,Anonymous,Serious Family Polka,defendant
4,1887,Blume v. Spear,W.D.Hendrickson,Call Me Back Again,defendant
5,1888,Kennedy v. McTammanay,,,defendant
6,1898,Broder v. Zeno Mauvais Music Co.,Charles Sidney O'Brien,Ma Angeline,defendant
7,1899,Boosey v. Whight,Player piano rolls produced by defendant Whight,,defendant
8,1907,White-Smith Music v. Apollo Company,Adam Geibel,Little Cotton Dolly,defendant
9,1914,Cooper v. James,Joseph James,Never Turn Back,defendant
10,1915,Boosey v. Empire Music,Jeff Godfrey,"Tennessee, I Hear You Calling Me",defendant
11,1916,Haas v. Leo Feist,Al Piantadosi,I Didn't Raise My Boy to be a Soldier,defendant
12,1917,Hart v. Graham,,,defendant
13,1923,Austin v. Columbia Gramophone Co.,John Gay,"Themes from opera ""Polly""",defendant
14,1923,Hein v. Harris,Joseph Howard,I Think I Hear a Woodpecker,defendant
15,1923,"Marks v. Leo Feist, Inc.",H. Pitman Clarke,Swanee River Moon,defendant
16,1924,"Fred Fisher, Inc. v. Dillingham",Jerome Kern,Ka-lu-a,defendant
17,1928,Italian Book Company v. Rossi,A. A.Galasso,Mamma Mia M'ha Maritan,defendant
18,1932,Gotham Music v. Denton Music Publishing,Anonymous,St. James' Infirmary or Gambler's Blues,defendant
19,1933,Arnstein v. Shilkret,Nathaniel Shilkret,Lady Divine,defendant
20,1934,Park v. Warner Brothers,"Harry Warren, Al Dubin",What are Your Intentions?,defendant
21,1935,Wilkie v. Santly Brothers,Bernice Petkere,Starlight,defendant
22,1936,Arnstein v. Edward Marks,Emery Deutsch and Arthur Altman,"Play, Fiddle, Play",defendant
23,1936,Norden v. Oliver Ditson,Anonymous arranger,O Gladsome Light,defendant
24,1937,Hirsch v. Paramount Pictures,Harry Revel,Without a Word of Warning,defendant
25,1939,Arnstein v. ASCAP,Joe Burke,My Wishing Song,defendant
26,1940,Darrell v. Joe Morris Music,"Sherman, Meskill, and Silver",On the Beach at Bali-Bali,defendant
27,1940,Davilla v. Harms,Sigmund Romberg,Desert Song,defendant
28,1941,Allen v. Walt Disney,Frank Churchill,Someday My Prince Will Come,defendant
29,1941,Marks v. Stasny,Anonymous,Allà en el Rancho Grande,defendant
30,1942,Carew v. R.K.O. Radio Pictures,Jerome Brainan,Chatterbox,defendant
31,1942,McMahon v. Harms,John Openshaw,Love Sends A Little Gift of Roses,defendant
32,1943,Arnstein v. Broadcast Music,Hy Zaret et al.,It All Comes Back to Me Now,defendant
33,1943,Arnstein v. Twentieth Century Fox,Harry Warren,I've Got a Gal in Kalamazoo,defendant
34,1944,"Gingg v. Twentieth Century Fox Film Corp, et al.",Mack Gordon and Harry Warren,There Will Never Be Another You,defendant
35,1944,Edward B. Marks Music Corp. v. Jerry Vogel Music Co.,,,defendant
36,1945,Brodsky v. Universal Pictures Company,Hans Salter,Bad Lands of Dakota,defendant
37,1945,Jewel Music v. Leo Feist,Roger Edens,Drummer Boy,defendant
38,1946,Arnstein v. Porter,Cole Porter,Don't Fence Me In,defendant
39,1946,Heim v. Universal Pictures,Aldo Franchetti,Perhaps,defendant
40,1948,Baron v. Leo Feist,Jeri Sullivan and Paul Baron,Rum and Coca-Cola,defendant
41,1948,Kahn v. Leo Feist,Leo Feist,Rum and Coca-Cola,defendant
42,1950,"Shapiro, Bernstein v. Miracle Record",Alphonso Tompkins and Lewis Simpkins,Long Gone,defendant
43,1951,Jones v. Supreme Music,Francis Craig,Near You,defendant
44,1952,Northern Music v. King Record Distribution,Henry B. Glover,"I Love You, Yes I Do",defendant
45,1953,Overman v. Loesser,Frank Loesser,On a Slow Boat to China,defendant
46,1954,Robbins v. Alamo,Miklos Rozsa,"Theme for 1946 movie, ""The Killers""",defendant
47,1954,Mills Music v. Cromwell Music,Issachar Miron & Julius Grossman,"Tzena, Tzena",defendant
48,1956,Robertson v. Batten,"Song Ads, Inc.",Ad for San Francisco Brewing Company,defendant
49,1956,Smith v. Muehlebach Brewing,Muehlebach Brewing,Time for Muehlebach,defendant
50,1956,Wihtol v. Wells,Kenneth H. Wells,My God and I,defendant
51,1958,Cholvin v. B & F Music,Kaczmarek,While We Dream,defendant
52,1959,Dorchester Music v. National Broadcasting Company,Charles Green,I Dreamed,defendant
53,1960,Walters v. Shari Music Publishing,Erving Burgie,Jamaica Farewell,defendant
54,1963,Francis Day & Hunter v. Bron,Peter de Angelis,Why,defendant
55,1964,Irving Berlin et al. v. E.C. Publications,Frank Jacobs and Larry Siegel,Louella Schwartz Describes Her Malady,defendant
56,1964,"Nom Music, Inc. V. Kaslin",James Sheppard and William Miller,Daddy's Home,defendant
57,1965,Life Music v. Broadcast Music,Robert Sherman,SUPERCALIFRAGILISTIC EXPIALIDOCIOUS,defendant
58,1965,Nordstrom v. R.C.A.,Jerry Herman,Shalom,defendant
59,1967,Packson v. Jobete,"Eddie Holland, Brian Holland, Lamont Dozier",Baby Love,defendant
60,1967,In re Geman Collecting Society GEMA,,,defendant
61,1969,Leo Feist v. Apollo Records,Gene Sayet & Sidney Feldman,"Toot, Toot, Tootsie",defendant
62,1970,Bote & Bock Musik v. Melodie der Welt GmbH & Co KG,Gerhard Wendland,Tanze mit mir in den Morgen (Mitternachtstango),defendant
63,1973,Strachborneo v. Arc Music,McKinley Morganfield,Got My Mojo Working,defendant
64,1975,Mood Music v. De Wolfe,Jack Trombey,Girl in the Dark,defendant
65,1976,Bright Tunes Music v. Harrisongs Music,George Harrison,My Sweet Lord,defendant
66,1976,Granite Music v. United Artists,Ernest Gold,Hiding the Wine,defendant
67,1976,MCA Music v. Earl Wilson,Earl Wilson and Billy Cunningham,The Cunnilingus Champion of Co. C,defendant
68,1978,Ferguson v. National Broadcasting Company,John Williams,"Theme from ""A Time to Love""",defendant
69,1978,Herald Square Music v. Living Music,Ray Ellis,"Theme for N.B.C.'s ""Today Show""",defendant
70,1978,Plymouth Music Co. v. Magnus Organ Corp.,Anonymous,Holiday Polka,defendant
71,1978,Harry v. Suzuki,Doumei Suzuki,One Rainy Night in Tokyo,defendant
72,1980,Elsmere Music v. N.B.C.,National Broadcasting Company,National Broadcasting Company,defendant
73,1980,Hanseatic Musikverlag v. Bellver Musikverlag,Juan Bastos,Loop Di Love,defendant
74,1980,Testa v. Janssen,Danny Janssen and Bobby Hart,Keep on Singing,defendant
75,1982,Gondos v. Hardy,"Hagood Hardy, Rudy and Jerry Toth","The Homecoming, Moment of Love",defendant
76,1984,Selle v. Gibb,Barry Gibb et al.,Barry Gibb et al.,defendant
77,1984,Pendleton v. Acuff-Rose,Elizabeth Jane Anderson,Mama’s Shoe Box,defendant
78,1985,"Cream Records, Inc. v. Jos. Schlitz Brewing Co.",Benton and Bowles,TV Ad for Schlitz Beer,defendant
79,1985,Lawson v. Dundas,David Dundas,Channel 4 Jingle,defendant
80,1985,Dixon v. Atlantic Recording Corp.,Led Zeppelin,Whole Lotta Love,defendant
81,1986,Anheuser Busch v. Elsmere Music,Gavin Spencer,Budweiser Beer Commercial (1985),defendant
82,1986,Benson v. Coca-Cola,Coca-Cola Company,I'd Like to Buy the World a Coke,defendant
83,1986,Fisher v. Dees,Rick Dees,When Sonny Sniffs Glue,defendant
84,1987,Baxter v. MCA,John Williams,Theme from 'E.T.',defendant
85,1987,Siskind v. Newton-John,Olivia Newton-John,Take a Chance,defendant
86,1987,Verge v. Imperial Oil Ltd.,Steven Benderoth,Hockey Night Theme,defendant
87,1987,Warner Bros. v. Dundas,David Dundas,Advertisement for Kenco Coffee,defendant
88,1987,Williamson v. Pearson Partnership,Denis King,Advertisement for Rapid Coach Service,defendant
89,1988,Gaste v. Morris Kaiserman,Morris Kaiserman,Feelings,defendant
90,1988,Magazine-Music Verlag v. Ralph Siegel,Nicole,Ein bisschen Frieden,defendant
91,1988,Edition Magazine Music v. Sony ATV,"Earth, Wind & Fire",Fantasy,defendant
92,1989,CBS Records Australia v. Guy Cross,Guy Cross,Ring My Bell (Trackdown Version),defendant
93,1990,Queen & David Bowie v. Vanilla Ice,Vanilla Ice,Ice Ice Baby,defendant
94,1990,Dawson v. Hinshaw Music,Gilbert Martin (Arr.),Ezekiel Saw De Wheel,defendant
95,1990,Levine v. McDonald's Corp.,McDonalds Corp.,Menu Song,defendant
96,1990,Black v. Gosdin,Vern Gosdin,Set 'Em Up Joe,defendant
97,1991,Grignon v. Roussel,Jean-Alain Roussel,Tous Les Juke-box,defendant
98,1991,Grand Upright v. Warner,Biz Markie,Alone Again,defendant
99,1991,Intersong-USA v. CBS,"Mario Balducci, Julio Iglesias",Hey,defendant
100,1991,McDonald v. Multimedia Entertainment,Dan Radlauer,"Theme Music for ""Sally Jesse Raphael Show""",defendant
101,1991,Enigma v. Phlegma 1991,Phlegma,Madness I,defendant
102,1991,EMI U Catalog Inc. v. Far Musikverlag,Boney M.,Brown Girl in the Ring,defendant
103,1991,Herbolzheimer v. Farian,Boney M.,Brown Girl in the Ring,defendant
104,1992,Chiate v. Morris,Stevland Morris,I Just Called to Say I Love You,defendant
105,1992,Moore v. Columbia Pictures,Antonio Reid and Kenny Edmonds,"On Our Own (from ""Ghostbusters II"")",defendant
106,1993,EMI Music v. Papathanasiou,Evangelos Papathanasiou,"Theme from ""Chariots of Fire""",defendant
107,1993,Jarvis v. A & M Records,Robert Clivilles and David Cole,Get Dumb! (Free Your Body),defendant
108,1993,Tempo Music v. Famous Music,,,defendant
109,1993,Sylvestre v. Oswald,Jani Lane,Heaven,defendant
110,1993,Les Inconnus v. Parker,Maceo And All The King's Men,Southwick,defendant
111,1994,Drynan v. Rostad,Wayne Rostad,Here We Are On the Road Again,defendant
112,1994,Campbell v. Acuff-Rose,Luther Campbell,"Oh, Pretty Woman",defendant
113,1994,Fantasy v. Fogerty,John Fogerty,The Old Man Down the Road,defendant
114,1994,Tin Pan Apple v. Miller Brewing,Miller Brewing Co.,TV ad for Miller Lite,defendant
115,1995,Crystal Cartier v. Michael Jackson,Michael Jackson,Dangerous,defendant
116,1995,La Cienega Music Co. v. ZZ Top,"William Gibbons, et al.",La Grange,defendant
117,1995,Woods v. Bourne,,,defendant
118,1996,Palmieri v. Estefan,Gloria Estefan,Oye Mi Canto,defendant
119,1996,Santrayll v. Burrell,Stanley Kirk Burrell,"Pepsi Ad featuring ""Hammer""",defendant
120,1996,Smith v. Michael Jackson,Michael Jackson,The Girl is Mine,defendant
121,1997,Damiano v. Sony,Bob Dylan,Dignity,defendant
122,1997,McRae v. Smith,Wayne Perry and Gerald Smith,Every Second,defendant
123,1997,Repp v. Webber,Andrew Lloyd-Webber,Phantom Song,defendant
124,1997,Tuff 'N' Rumble v. Profile Records,Joseph Simmonds et al.,Back from Hell,defendant
125,1999,BTE v. Bonnecaze,,,defendant
126,1999,Ellis v. Diffie,Joe Diffie,Prop Me Up Beside the Jukebox (If I Die),defendant
127,1999,Selletti v. Carey,Mariah Carey,Hero,defendant
128,1999,Suzane McKinley v. Collin Raye,Steve Seskin & Collin Raye,I Think About You,defendant
129,1999,ZZ Top v. Chrysler Corp.,Chrysler Corporation,Promotional video for Plymouth Prowler,defendant
130,1999,Anzilotti v. Hildenbeutel,Cygnus X,Superstring,defendant
131,2000,Armstrong v. Virgin Records,"Robert Del Naja, et al",Unfinished Sympathy,defendant
132,2000,Three Boys Music v. Michael Bolton,Michael Bolton and Andrew Goldmark,Love is a Wonderful Thing,defendant
133,2000,Tisi v. Patrick,Richard Patrick,Take A Picture,defendant
134,2000,Bouffard v. Ministère Public,,Mashups of various songs in SACEM catalog,defendant
135,2000,"Cooper v. Ogilvy & Mather, et al.",Ogilvy & Mather,"""Pond's Nutrivits"" ads",defendant
136,2001,Oliviera v. Frito-Lay,Frito-Lay Corp.,Frito-Lay TV ad,defendant
137,2001,Albano Carrisi v. Michael Jackson,Michael Jackson,Will You be There?,defendant
138,2001,Marlon Williams v. Calvin Broadus,Calvin Broadus,Ghetto Symphony,defendant
139,2001,Johnson v. Berry,,,defendant
140,2001,Toliver v. Sony Music,Destiny's Child,Independent Women,defendant
141,2002,Creagh v. Hit and Run Music,"Simon Stirling, et al.",Where are You,defendant
142,2002,Jean et al. v. Bug Music,Nel Wyclef Jean and Jerry Duplessis,My Love is Your Love,defendant
143,2002,Malmstedt v. EMI Records,Per Gessle,Sleeping in my Car,defendant
144,2002,Weh v. Universal Music Publishing,Sophie Ellis-Bextor,Get Over You,defendant
145,2003,Cottrill v. Spears,"Jorgen Elufsson, David Kreuger, Per Magnusson, Rami Yacoub","What U See is What U Get, Can't Make You Love Me",defendant
146,2003,Newton v. Diamond,"Adam Yauch, et al.",Pass the Mic,defendant
147,2003,Ory v. Country Joe McDonald,Joe McDonald,I Feel Like I'm Fixin' to  Die Rag,defendant
148,2003,Jorgensen v. Epic/Sony Records,"James Horner, Will Jennings, Chris Lindsey, Aimee Mayo and Marv Green","My Heart Will Go On, Amazed",defendant
149,2003,Ergin v. Kershaw,[Unknown Composer],Wouldn't It Be Good,defendant
150,2003,Kobayashi v. Hatorri,Katsuhisa Hattori,Kinenju [Memorial Tree],defendant
151,2004,Apollo v. Coca Cola,Coca-Cola (China) Inc.,Sunrise,defendant
152,2004,Swirsky v. Carey,Mariah Carey,Thank God I Found You,defendant
153,2004,"Disney Enterprises, Inc. v. S.G. Griesel","Pete Seger et al. (From Disney's 1997 Broadway musical ""The Lion King"")",The Lion Sleeps Tonight,defendant
154,2004,Ulloa v. Universal,Shawn Carter,Izzo (H.O.V.A.),defendant
155,2005,BMS Entertainment v. Bridges,Christopher Bridges,Stand Up,defendant
156,2005,"Bridgeport Music v. Dimension Films, et al.","Eric Wright, et al.",100 Miles and Runnin',defendant
157,2005,Coffey v. Warner/Chappell Music,Patrick Leonard & Madonna Ciccone,Nothing Really Mattters,defendant
158,2005,Griffin v. J-Records,"Richard Marx, Luther Vandross",Dance With My Father,defendant
159,2005,Johnson v. Gordon,"Allen Gordon Jr., et al.",You’re the One,defendant
160,2005,Positive Black Talk v. Cash Money Records,"Terius Gray (""Juvenile"")",Back That Azz Up,defendant
161,2005,Vargas v. Pfizer,"Brian Transeau, et al.",Advertisement for Celebrex,defendant
162,2005,Yong Wang v. Zhengben Zhu,Zhengben Zhu,Farewell to the Red Army,defendant
163,2005,Bacalov v. Endrigo,Luis Bacalov,Il Postino,defendant
164,2006,Boone v. Jackson,"John Jackson (""Fabolous"")",Young 'N,defendant
165,2006,Tilford v. Jones,"Michael Jones, et al.",Still Tippin',defendant
166,2007,Armour v. Knowles,Beyoncé Knowles,Baby Boy,defendant
167,2007,Bridgeport Music v. Combs,Christopher Wallace,Ready to Die,defendant
168,2007,"Lil' Joe Wein Music, Inc. v. Jackson","Curtis James Jackson aka ""50 Cent""",In Da Club,defendant
169,2007,People v. Hu,Hu,Bye Bye My Lover!,defendant
170,2007,Vargas v. Transeau,Brian Transeau,Bust Dat Groove Without Ride,defendant
171,2007,Velez v. Sony Discos,Victor Manuelle,Tengo Ganas,defendant
172,2007,Lester v. U2,U2 (band),Vertigo,defendant
173,2007,"Huang Nenghua, et al. v. China Record Shanghai Co., Ltd.",Yang Feifei,"Recording of popular vocal numbers from Chinese Operas, including a portion of The Mother as Slave",defendant
174,2008,Glover v. Austin,"Tionne Watkins, et al.",Unpretty,defendant
175,2008,"Winter v. Moore, et al.",Gary Moore,Still Got the Blues,defendant
176,2008,Sampath v. Roshan,Vishal Dadlani,Krazzy 4 (Remix) & Breakfree (Remix),defendant
177,2009,Allen v. Destiny's Child,Destiny's Child,Cater 2 U,defendant
178,2009,Brainard v. Vassar,Phil Vassar,Good Ole Days,defendant
179,2009,"Steele v. Bongiovi, et al.",Jon Bongiovi,I Love This Town,defendant
180,2009,"Bridgeport Music, Inc. v. UMG Recordings, Inc","Robert Kelly, et al. (""Public Announcement"")",D.O.G. In Me,defendant
181,2009,Jones v. Blige,Mary J. Blige,Family Affair,defendant
182,2009,"Joe Satriani v. Christopher Martin, et al. [Coldplay]",Christopher Martin et al. [Coldplay],Viva la Vida,defendant
183,2009,Weh v. Universal Music Publishing,Sophie Ellis-Bextor,Get Over You,defendant
184,2010,"Currin v. Pharrell Williams, et al.",Pharrell Williams,Frontin,defendant
185,2010,Larrikin Music Publishing Ltd. v. EMI Songs Australia Ltd.,"Colin Hay (""Men At Work"")",Down Under,defendant
186,2010,Marshall v. Huffman,"John Huffman, Real Content Media Group, Mariah Carey",My Love,defendant
187,2010,"Prunte v. Universal Music Group Inc., et al.","Black Rob, et al.","Fire in the Hole, Plus Others",defendant
188,2010,Martel Ellis v. Wyclef Jean,Wyclef Jean,Welcome to the East,defendant
189,2010,"Ebony Latrice Batts v. William Adams, et al. [“Black Eyed Peas”]","William Adams, et al. [“Black Eyed Peas”]",Boom Boom Pow,defendant
190,2010,"Holmes v. Page, et al.",Led Zeppelin,Dazed and Confused,defendant
191,2011,"Ernest Straughter v. Usher Raymond, et al.","Usher Raymond, et al.",Burn,defendant
192,2011,Pyatt v. Raymond,Usher Raymond,Caught Up,defendant
193,2011,Lessem v. Taylor,"Jayceon Taylor (“The Game”), Andre Young (“Dr. Dre”), Michael Elizondo, Curtis Jackson (“50 Cent”)",How We Do,defendant
194,2011,"Saregama India v. Timothy Mosley, et al.","Timothy Mosley, aka ""Timbaland""",Put You on the Game,defendant
195,2011,"Eight Mile Style [Marshall Mathers, aka Eminem” v. Audi GmbH",Audi GmbH,​Advertisement for Audi A6 “Avant”,defendant
196,2011,Obinger v. McDonald's,McDonald's Corporation,McDonald's-Jingle,defendant
197,2011,Stokes v. Stephens,John Legend,Maxine's Interlude,defendant
198,2012,"Lyles v. Capital - EMI Music, Inc., et al.",David Guetta,Without You,defendant
199,2012,Peters v. West,Kanye West,Stronger,defendant
200,2012,People v. Xinru Wang,Xinru Wang,Sleeping Beauty,defendant
201,2012,Done Deal v. Carter,"Dwayne Carter, aka Lil Wayne",Bedrock,defendant
202,2012,Poindexter v. EMI Record Group,EMI Record Group,Washed Away,defendant
203,2012,Rui Hua Wang v. Qi Gang Chen,Qi Gang Chen,You and Me,defendant
204,2012,Black Keys v. Home Depot and Pizza Hut,,Advertisement for Home Depot; Advertisement for Pizza Hut,defendant
205,2012,Erickson v. Blake,Michael John Blake,What Pi Sounds Like,defendant
206,2012,"Barobax v. Chakraborty, et al.",Pritam Chakraborty,Pyaar Ki Pungi,defendant
207,2013,Hobbs v. John,Elton John,Nikita,defendant
208,2013,Loomis v. Cornish,Jessica Cornish,Domino,defendant
209,2013,"Twilight Records v. Raymond, et al.",Call Me a Mack,Different Strokes,defendant
210,2013,"Love v. Universal Music Group, Inc.",Kanye West,Doin My Job,defendant
211,2014,"Francescatti v. Germanotta [""Lady Gaga""]",Stefani Germanotta,Judas,defendant
212,2014,"Pringle v. Adams [""Black Eyed Peas""]","William Adams, et al.",I Gotta Feeling,defendant
213,2014,Steward v. Kanye West,Kanye West,Gold Digger,defendant
214,2014,"TufAmerica, Inc. v. Warner Bros Music Corp., et al","Shawn Carter (""Jay-Z"") et al.",Run This Town,defendant
215,2014,Mayimba Music v. Sony,Eduard Edwin Bello Pou,Loca con su Tiguere,defendant
216,2014,Paul Batiste v. Faheem Rasheed Najm,Faheem Rasheed Najm (p/k/a T-Pain),Put It Down; Reggae Nigh,defendant
217,2014,Musikverlag Richard Birnbach v. ZDF,ZDF,"""Today"" Jingle",defendant
218,2015,Lane v. Knowles-Carter,Beyonce Knowles-Carter,X.O.,defendant
219,2015,"New Old Music v. Gottwald, et al.","Jessica Cornish, et al.",Price Tag,defendant
220,2015,"Devin Copeland v. Justin Bieber, et al.","Justin Bieber, et al.",Someone to Love,defendant
221,2015,"TufAmerica v. Diamond, et al.","Diamond, Horovitz, et al. [Beastie Boys]",Shadrach; Car Thief; Hold It,defendant
222,2015,"Miles Floyd v. Rod Stewart, et al.","American folk song, as performed by Rod Stewart",Corrina Corrina,defendant
223,2015,"Daniel Marino v. Usher, et al.",Usher Raymond,Bad Girl,defendant
224,2015,Tom Petty v. Sam Smith,Sam Smith,Stay With Me,defendant
225,2015,Richard Friedman v. Hans Zimmer,Hans Zimmer,Music score for “12 Years a Slave”,defendant
226,2015,Dark Sanctuary v. Bushido,Bushido,Janine,defendant
227,2015,Johnson v. Goldman,Jean-Jacques Goldman,Aicha,defendant
228,2015,"Guzman v. Hacienda Records, et al.",Hacienda Records,Cartas de Amor,defendant
229,2015,Universal Music Publishing v. Sony BMG Music Entertainment,Francesco De Gregori,"Prendi questa mano, zingara",defendant
230,2016,Fahmy v. Jay Z et al.,Jay Z et al.,Big Pimpin',defendant
231,2016,Bowen v. Paisley,"Brad Paisley, et al",Remind Me,defendant
232,2016,"VMG Salsoul v Madonna Ciccone, et al.","Madonna Ciccone, Richard Pettibone",Vogue,defendant
233,2016,"McDonald v. West, et al.","Kanye West, et al.",Made in America,defendant
234,2016,We Shall Overcome Foundation v. Richmond Foundation & Ludlow Music,,,defendant
235,2016,"Alisa Apps v. Universal Music, et al.",John Newman,Love Me Again,defendant
236,2016,Arnett v. Alan Jackson & Sony Music,Alan Jackson,Remember When,defendant
237,2016,"BMG v. Atlantic Recording Organization, et al.","Omari Ishmael Grandberry, aka “Omarion”",Post to Be,defendant
238,2016,"Eric Smith, et al. v. Amanda Jiroux, et al.",Amanda Jiroux,Insane,defendant
239,2016,"Gabor Presser v. Kanye West, et al.",Kanye West,New Slaves,defendant
240,2016,"Mattie Music Group v. Lamar, Warner/Chappell, et al.","Kendrick Lamar, et al.",I Do This,defendant
241,2016,"McElroy, et al. v. Eriksen, et al.","Mikkel Eriksen, et al.",I'm Worth It,defendant
242,2016,"Songs Music Publishing v. Porsche, et al.",Cramer-Krasselt advertising agency,Advertisement for Porsche’s Cayman 718 automobile,defendant
243,2016,"Yours, Mine & Ours v. Sony, et al.",Peter Hernandez (“Bruno Mars”) et al.,Uptown Funk,defendant
244,2016,"Estate of Armetia Chatmon v. Eric Clapton, et al.",Public domain blues number performed by Eric Clapton,"Alberta, Alberta",defendant
245,2016,"Miller, et al. dba “Sleigh Bells” v. Demi Lovato",Demi Lovato,Stars,defendant
246,2016,"Greggs v. Grande, et al.",Ariana Grande,One Last Time,defendant
