valid,case_id,song1_artist,song1_title,song1_evidence,song2_artist,song2_title,song2_evidence,is_melodic_comparison,pair_evidence,pair_evidence_source,comments
1,93,Queen & David Bowie,Under Pressure,"[""The authors of 'Ice Ice Baby' sampled the bassline of 'Under Pressure' without crediting Queen or David Bowie""]",Vanilla Ice,Ice Ice Baby,"[""In 1990, American rapper Vanilla Ice released his debut single called 'Ice Ice Baby'.""]",TRUE,"[""The same bassline from 'Under Pressure' is used in the introduction and choruses of 'Ice Ice Baby' without any additional layers.""]",Comments and opinions,
1,95,Reunion,Life is a Rock (But the Radio Rolled Me),"[""In the early 1970s, plaintiffs Paul DiFranco and Norman Dolph wrote 'Life Is a Rock (But the Radio Rolled Me).'""]",McDonald's,Menu Song,"[""The alleged infringing work is a song that appears in various renditions in commercials of defendant McDonald's Corporation ('McDonald's').""]",TRUE,['Plaintiffs have submitted evidence that members of the public... identified MENU as being similar to LIFE.'],Court Opinion,
1,96,Damon Black,The Jukebox,"[""Plaintiff's allegation that the Defendant's song infringed his country/western ballad 'The Jukebox.'""]",Vern Gosdin,Set 'Em Up Joe,"[""A brief audio clip of Defendant Vern Gosdin's performance of his 'Set 'em up Joe.'""]",FALSE,['lyrics'],,
1,97,Rene Grignon,Chanson Numero 7,"['The Plaintiff composed a musical work, Chanson numero 7 in August 1986.']",Martine St-Clair,Tous Les Juke-box,"[""In March 1988, the singer Martine St-Clair brought out a long-playing record containing a song called 'Tous les juke-box'.""]",TRUE,"[""The experts found significant similarities in the 'hooks,' 'falls,' and delivery of the works.""]",Comments and opinions,
1,98,Gilbert O'Sullivan,Alone Again (Naturally),"[""The case involves a claim against the song 'Alone Again (Naturally)' by Gilbert O'Sullivan.""]",Biz Markie,Alone Again,"[""The case involves the defending work 'Alone Again' by Biz Markie.""]",TRUE,"[""The court ruled that Biz Markie's 'Alone Again' was not a legitimate use of Gilbert O'Sullivan's original melody.""]",Comments and Opinions,
1,99,Enrique Chia,Es,"[""plaintiff did not make a sufficient showing of access by defendants to the allegedly misappropriated number, 'Es'""]",Julio Iglesias,Hey,"[""the melody of the song 'Hey,' which was initially recorded by Julio Iglesias""]",TRUE,"[""the Court notes that 'Es' was one of the ten most-played songs on one particular New York radio station, WJIT, in the spring of 1979.""]",Court's Opinion,
1,100,Gerard McDonald,Proposed Theme Music for 'Sally Jesse Raphael Show',"[""Plaintiffs allege that the theme music for the 'Sally Jesse Raphael Show' contains substantial material copied from a short musical composition which plaintiffs had composed.""]",Dan Radlauer,Theme Music for 'Sally Jesse Raphael Show',['Defendant copied one note from them  the 5 following the 1  lower 6.'],TRUE,['The crux of the plaintiffs claim is a three-note motive (1  lower 6  5).'],comments and opinions,
1,101,Enigma,Sadeness I,[],Phlegma,Madness I,[],TRUE,[],,
1,102,Exuma,Theres a Brown Girl in the Ring,['complaining_work: ThereA s a Brown Girl in the Ring'],Boney M.,Brown Girl in the Ring,['defending_work: Brown Girl in the Ring'],TRUE,"['In this case, both works reference the same title, suggesting a melodic comparison.']",Court Case Details,
1,103,Malcolm's Locks,Brown Girl,"[""The plaintiff is a musician, composer and arranger. In 1975 he created the musical title 'Brown Girl'.""]",Boney M.,Brown Girl in the Ring,"[""The defendant produced in 1978 with the group 'Boney M.' the title 'Brown Girl in the Ring'.""]",TRUE,"['The judicial expert stated that the defendants version coincides with that of the plaintiff in the creative field in five points: the structure of the first round, the melody, the tempo.']",German Federal Court of Justice decision (1991),
1,104,Lloyd Chiate and Lee Garrett,Hello It's Me / I Just Called to Say,"[""Lloyd Chiate collaborated with Lee Garrett... to write a song, 'Hello Its Me/ I Just Called to Say.'""]",Stevie Wonder,I Just Called to Say I Love You,"[""'I Just Called To Say I Love You,' earned Morris an Academy Award for Best Original Song.""]",TRUE,['The trial court jury found that the musical works in dispute were not strikingly similar.'],Comments and opinions,
1,105,Derrick D. Moore,She Can't Stand It,"['Moore registered the completed song with the United States Copyright Office on June 6, 1989.']",Antonio Reid and Kenny Edmonds,On Our Own,"[""the theme song in 'Ghostbusters II.'""]",TRUE,['the similarities amounted to no more than the use by both parties of generic elements found in R&B/hip-hop works.'],Comments and opinions,
1,106,Stavros Logarides,City of Violets,"[""EMI Music Publishing Limited asserted infringement of copyright in what they claimed to be an original musical work called 'The City of Violets'.""]",Vangelis,Chariots of Fire,"['the theme for the film, Chariots of Fire.']",TRUE,"[""the identical four notes F-G-A-G, described as 'the turn,' which linked Bars 1 and 2 in City of Violets and Bars 11 and 12 in Chariots of Fire.""]",Comments and opinions,
1,107,Boyd Jarvis,The Music's Got Me,"[""About a decade ago, Boyd Jarvis wrote a song entitled 'The Music's Got Me.'""]",C+C Music Factory,Get Dumb! (Free Your Body),"[""defendant Robert Clivilles and David Cole wrote and recorded a song entitled 'Get Dumb! (Free Your Body)'""]",TRUE,"[""defendants digitally sampled sections of Mr. Jarvis's 'The Musics Got Me.'""]",Court's Order,
1,110,Maceo Parker,Southwick,"['Les inconnus sampled Maceo Parkers song, and the judges agreed with Parker that this constituted copyright infringement.']",Les Inconnus,Auteuil Neuilly Passy,"[""the average listener was still able to recognize Maceo Parker's song in that of Les inconnus.""]",TRUE,['the average listener is not able to recognize the source of the sample (the original song).'],Comments and opinions,
1,111,James Drynan,Filion Family Welcome,"['The plaintiff composed a song, Filion Family Welcome, for a wedding anniversary.']",Wayne Rostad,Here We Are On The Road Again,['The defendant composed a musical work entitled Here We Are On The Road Again.'],TRUE,"['Both songs are in the key of E Major. Each refrain comprised eight bars of music.', 'The harmony over the eight bars were identical chord progressions  E A E B7 E.']",Comment and Opinion,
1,113,John Fogerty,Run Through the Jungle,"[""Fogerty assigned the copyright for his song 'Run Through the Jungle' to Fantasy Records.""]",John Fogerty,The Old Man Down the Road,"[""He published and registered a copyright to a song entitled 'The Old Man Down the Road'.""]",TRUE,['A comparison of the sound recordings indicate a number of shared musical and topical elements.'],Comments and opinions,
1,116,John Lee Hooker,Boogie Chillen,"['In 1948, John Lee Hooker and Bernard Besman wrote a musical composition called Boogie Chillen.']",ZZ Top,La Grange,['ZZ Top released an album containing a song called La Grange.'],TRUE,"['Besman states that, upon investigation, he realized that La Grange was very similar to the Boogie Chillen songs.']",Comments and opinions,
1,118,Eddie Palmieri,Paginas De Mujer,[],Gloria Estefan,Oye Mi Canto,[],FALSE,[],,
,119,Rene Santrayll & Michael Walker,Uh Oh,[],MC Hammer,Pepsi Ad featuring 'Hammer',[],FALSE,[],,
,120,Robert Smith and Reynard Jones,Don't Let the Sunshine,"[""Jackson's 'The Girl is Mine' infringed on one motive from appellants 'Don't Let the Sunshine Catch You Crying.'""]",Michael Jackson,The Girl is Mine,"[""Jackson's 'The Girl is Mine'""]",TRUE,"['The district court agreed with Jackson that similarities involved no more than musical motives, thus they were not protectable.']",Comments and opinions,
,120,Robert Smith and Reynard Jones,Happy Go Lucky Girl,"[""'The Girl is Mine' infringed on two motives from appellants 'Happy Go Lucky Girl.'""]",Michael Jackson,The Girl is Mine,"[""Jackson's 'The Girl is Mine'""]",TRUE,"['The similarities involved no more than musical motives, thus they were not protectable.']",Comments and opinions,
,121,James Damiano,Steel Guitars,"[""plaintiff asserts infringement of his instrumental composition, 'Steel Guitars,' by Dylans 'Dignity.'""]",Bob Dylan,Dignity,"[""the instrumental arrangement by Damiano was allegedly infringed by Dylan's song 'Dignity.'""]",TRUE,"[""the court notes that the melody of 'Dignity' and plaintiffs Exhibit 71 version were thirty-two percent similar.""]",Court's Order,
,122,Maree McRae,"Every Minute, Every Hour, Every Day","['Plaintiff alleges that defendants song Every Second infringed her copyrighted song Every Minute, Every Hour, Every Day.']",Wayne Perry and Gerald Smith,Every Second,"[""The Smith Perry song was used on Collin Rayes 'All I Can Be' album.""]",FALSE,[],,
,123,Ray Repp,Till You,"[""Repp wrote the song 'Till You' in 1978 and registered it with the United States Copyright Office the same year.""]",Andrew Lloyd Webber,Phantom Song,"[""Lloyd Webber completed the 'Phantom Song' in late 1984.""]",TRUE,['Professor Hitchcock asserted that there were striking similarities between the two melodies.'],Court Opinion,
,123,Andrew Lloyd Webber,Close Every Door,"[""The song 'Close Every Door' was among the first portions of the choral presentation that Lloyd Webber completed.""]",Ray Repp,Till You,"['Repp contends that Lloyd Webber, having had access to this music, copied it.']",TRUE,['Ferrara opined that section A of both pieces shared the same internal structure.'],Court Opinion,
,124,Honey Drippers,Impeach the President,"[""Tuff asserts that it owns the copyright in the sound recording and the musical composition entitled 'Impeach the President.'""]",Run DMC,Back from Hell,"[""Count I alleges that defendants are liable for copyright infringement based on their release of a sound recording entitled 'Back from Hell.'""]",FALSE,[],,
,124,Honey Drippers,Impeach the President,"[""Tuff alleges that 'the sound recordings of certain drum tracks found in 'Dana Dane With Fame' and 'Back From Hell' were copied/sampled directly from... 'Impeach the President.'""]",Dana Dane,Dana Dane with Fame,"[""Count II makes the same charge with respect to a sound recording entitled 'Dana Dane with Fame' by the recording artist Dana Dane.""]",FALSE,[],,
,125,Better Than Ezra,Coyote,"['the court suggested that Bonnecaze (and, apparently, his lawyer) were muddled about the nature of Bonnecazes contributions.']",Better Than Ezra,Juicy,"[""the TV show 'Desperate Housewives' uses this bands appropriately tawdry song 'Juicy'.""]",FALSE,[],,
,126,Everett Ellis,Lay Me Out By the Jukebox When I Die,[],Joe Diffie,Prop Me Up Beside the Jukebox (If I Die),[],FALSE,[],,
,129,ZZ Top,La Grange,"['Defendant Chrysler Corporation copied and used parts of plaintiffs song, La Grange, as the soundtrack to its promotional video.']",Chrysler Corporation,Promotional video for Plymouth Prowler,"['Chrysler Corporation copied and used parts of plaintiffs song, La Grange.']",TRUE,['Defendant argues that the guitar riff in La Grange is substantially similar to that used in earlier musical compositions.'],Judge Lasnik's opinion,
,130,Snap!,Green Grass Grows,['Anzilotti then sued to establish his work did not infringe.'],Cygnus X,Superstring,"[""Claimed plaintiffs... had infringed the copyright of their electronic sound work 'Superstring'.""]",TRUE,"[""The expression at issue is a five-note motif 'la-ti-do-la-sol'.""]",Comments and opinions,
,131,John McLaughlin,Planetary Citizen,"[""the sampled snippet in question is the 'Hey, hey, hey' opening cry recorded by John McLaughlin on the plaintiff's recording of 'Planetary Citizen.'""]",Massive Attack,Unfinished Sympathy,"[""One of the tracks on 'Blue Lines' was a recording of a musical composition entitled 'Unfinished Sympathy.'""]",TRUE,['the sampled bit occurs in the same overall location in the introduction to the defendants song.'],comments_and_opinions,
,133,Michael Tisi,Sell Your Soul,"[""Tisi, a songwriter, claimed the defendant copied his composition entitled 'Sell Your Soul'.""]",Filter,Take A Picture,"[""Defendants' work 'Take A Picture,' a musical composition written by Patrick.""]",TRUE,"[""[T]he melody in [defendant's work] does not share any notable similarities with the melody in [plaintiff's work].""]",Comments and opinions,
,135,Matthew Cooper,The Lower we Fly,['the court readily accepted the opinion of... that Muellers work infringed upon Matthew Coopers song.'],Christophe Mueller,Pond's Nutrivits ads,"[""Mueller claimed his work could not infringe Cooper's... the music for the recording.""]",TRUE,['the court readily accepted the opinion of... that Muellers work infringed upon Matthew Coopers song.'],Comments and Opinions,
,136,Astrud Gilberto,The Girl from Ipanema,"['The complaint alleged that the defendants infringed her trademark rights under A 43(a) of the Lanham Act, 15 U.S.C. A 1125(a), by using a famous 1964 recording of Gilberto singing a\x80\x9cThe Girl from Ipanemaa\x80\x9d.']",Frito-Lay Corp.,Frito-Lay TV ad,"['It introduced the product with a thirty-second television advertisement created by its advertising agency, defendant BBDO Worldwide, Inc.']",FALSE,[],,
,137,Albano Carrisi,I cigni di Balaka,['the Rome court of first instance determined Jackson had copied Carrisis song'],Michael Jackson,Will You be There?,"['Jackson had copied Carrisis song, ordered Sony to cease distribution of Jacksons song in Italy']",TRUE,['the Rome court of first instance determined Jackson had copied Carrisis song'],comments_and_opinions,
,138,Marlon Williams,The Symphony,['Plaintiff argues that Broadus appropriated lyrics and music from his song without permission.'],Calvin Broadus,Ghetto Symphony,"[""Defendant's song, 'Ghetto Symphony.'""]",TRUE,"[""Defendants concede that 'Ghetto Symphony' used some of the lyrics and music of 'The Symphony' without permission.""]",Court documents,
,139,Chuck Berry,Wee Wee Hours,['Order by Judge Daniel Stohr of the U.S. District Court Eastern Division of Missouri.'],,,[],FALSE,[],,
,140,Paula Toliver,Independent Lady,"[""Plaintiff copyrighted a song entitled 'Independent Lady' with the Library of Congress Copyright Office.""]",Destiny's Child,Independent Women (Part I),"[""Defendant released 'Independent Women (Part I),' written specifically for the album.""]",FALSE,[],,
,141,Marianne Cray,Where Are You Now,"[""Plaintiff, Marianne Creagh (professionally known as Marianne Cray), composed and owned the musical and literary copyright subsisting in a song called 'Where Are You Now.'""]",Imaani,Where Are You,"['Defendant, Hit & Run Music Publishing Limited, infringed these rights, after hearing what she took to be the chorus of her song in another song called Where Are You.']",TRUE,"['Regarding the melodic notes of the hook lines, the most notable and consistent feature of each phrase was the final three note descent to the tonic note A.']",Comments and opinions,
,142,The Meters,Hand Clapping Song,"[""Defendants allege that the lyrical and musical excerpt at issue in My Love  'Clap your hands, yall, ts all right'... infringes the HCS copyright.""]",Whitney Houston,My Love is Your Love,"[""The defendant initiated this dispute by claiming that the authors of 'My Love is Your Love'... infringed their 'Hand Clapping Song'.""]",TRUE,"[""The first three words in the HCS and My Love Phrases are identical  both start with 'clap your hands.'""]",Comments and opinions,
,143,Stephan Malmstedt,Jenny and I,[],Roxette,Sleeping in my Car,[],FALSE,[],,
,144,WEH,Heartbeat,[],Sophie Ellis-Bextor,Get Over You,[],FALSE,[],,
,145,Michael Cottrill and Lawrence Wnukowski,What You See is What You Get,"[""Plaintiffs assert that the music of Defendants 'What U See Is What U Get' was copied from Plaintiffs copyrighted work.""]",Britney Spears,What U See Is What U Get,"[""Defendants 'What U See Is What U Get'""]",TRUE,"[""Plaintiffs eventually dropped this part of their claim but alleged that 'Cant Make You Love Me' also misappropriated substantial melodic material.""]",Comment/Opinion,
,145,Michael Cottrill and Lawrence Wnukowski,What You See is What You Get,['Plaintiffs seek to prove infringement without direct evidence and must therefore make the requisite showing as to access and similarity.'],Britney Spears,Can't Make You Love Me,['Plaintiffs eventually dropped this part of their claim.'],TRUE,[],,
,146,James W. Newton,Choir,"['In 1978, he composed the song ""Choir,"" a piece for flute and voice.']",Beastie Boys,Pass the Mic,"[""Beastie Boys obtained a license... to sample the opening six seconds of Newton's sound recording of 'Choir'.""]",TRUE,"['The sampled portion consists of a six-second, three-note segment of a performance.']",Court Opinion,
,147,"Edward ""Kid"" Ory",Muskrat Ramble,"[""Plaintiff alleges that a song written by McDonald in 1965, 'I Feel Like Im Fixin to Die Rag,' infringes 'Muskrat Ramble,' an instrumental written by her father, Edward 'Kid' Ory.""]",Country Joe McDonald,I Feel Like I'm Fixin' to Die Rag,"[""Defendant wrote and recorded around 1965 'I Feel Like I'm Fixin' to Die Rag.'""]",TRUE,"[""It is obvious from hearing recordings of the two numbers that the defendant was influenced by 'Muskrat Ramble.'""]",Comments and opinions,
,148,John L. Jorgensen,Long Lost Lover,"[""Jorgensen wrote and copyrighted a song entitled 'Long Lost Lover' that he claims has been infringed upon by the songs 'My Heart Will Go On' and 'Amazed.'""]",Celine Dion,My Heart Will Go On,"[""'My Heart Will Go On,' the hit song sung by Celine Dion that was incorporated into the profitable movie Titanic.""]",FALSE,[],,
,148,Lonestar,Amazed,"[""'Amazed,' a song written by Chris Lindsey, Aimee Mayo and Marv Green, was recorded by the country music group Lonestar.""]",John L. Jorgensen,Long Lost Lover,"[""Jorgensen wrote and copyrighted a song entitled 'Long Lost Lover' that he claims has been infringed upon by the songs 'My Heart Will Go On' and 'Amazed.'""]",FALSE,[],,
,149,Mehmet Ergin,Wenns ums Geld geht-Sparkasse,['complaining_work: Jingle of German bank: Wenns ums Geld geht-Sparkasse'],Nik Kershaw,Wouldn't It Be Good,"[""defending_work: Wouldn't It Be Good""]",TRUE,"[""This case revolves around the melody of the Jingle 'Wenns ums Geld geht-Sparkasse' which allegedly resembles 'Wouldn't It Be Good'.""]",Case Information,
,150,Asei Kobayashi,Dokomademo Ikou (Let's Go Anywhere),"[""This case involves an alleged infringement of a popular TV commercial song, 'Let's Go Anywhere'.""]",Katsuhisa Hattori,Kinenju (Memorial Tree),"[""defending song 'Kinenju' was no longer broadcast with the TV show.""]",TRUE,['About 72% of the melody of the defending song were the same as that of the complaining song.'],Comments and opinions,
,151,Apollo Inc.,When the Sun Rises,"[""Apollo owns its theme song 'When the Sun Rises' (1999).""]",Coca-Cola (China) Inc.,Sunrise,"[""Cokes theme song- 'Sunrise'- used for its commercial campaign of Sprite.""]",TRUE,"[""the analysis determined that both lyrics and music of Cokes 'Sunrise' was substantially similar to Apollos 'When the Sun Rises.'""]",Comment/Opinion 2,
,152,Seth Swirsky and Warryn Campbell,One of Those Love Songs,"[""the plaintiffs, Seth Swirsky and Warryn Campbell, brought this action in district court, alleging that a song produced by the defendants infringed the plaintiffs copyright in the song, 'One of Those Love Songs.'""]",Mariah Carey,Thank God I Found You,"[""Thank God was composed by defendants Carey, James Harris III, and Terry Lewis in 1999 and was released on Careys album 'Rainbow' in November 1999.""]",TRUE,"[""the two songs choruses shared a similar structure in that measures five through seven of each chorus were 'almost exactly' the same as the first three measures of each chorus.""]",Court's Opinion,
,153,Soloman Ntsele,Mbube,['The complaining work is Mbube.'],Pete Seeger,The Lion Sleeps Tonight,['The defending work is The Lion Sleeps Tonight.'],TRUE,['The case involves a copyright dispute over similarities between Mbube and The Lion Sleeps Tonight.'],Case Information,
,154,Demme Ulloa,Countermelody,['Ulloa created a countermelody to the Instrumental Phrase.'],Jay-Z,Izzo (H.O.V.A.),"[""Defendant Shawn Carter, aka 'Jay Z,' chants the words of 'Izzo' over a sampled clip.""]",TRUE,"[""The fact that plaintiff derived from the Michael Jackson song the countermelody that defendant then used in its 'Izzo' song did not taint any potential copyright.""]",Comments and opinions,
,155,It's Only Family,Straight Like That,['Plaintiffs allege that their copyright in Straight Like That was infringed by the defendants composition Stand Up.'],Ludacris,Stand Up,['Defendants composition Stand Up.'],TRUE,['Both Straight Like That and Stand Up utilize a three-note rhythmic pattern.'],Comments and Opinions,
,156,George Clinton,Get Off Your Ass and Jam,['The use of a sample from the composition and sound recording Get Off Your Ass and Jam'],Eric Wright (Eazy-E),100 Miles and Runnin',"[""the rap song 100 Miles and Runnin'""]",TRUE,"[""the sample from the composition and sound recording Get Off Your Ass and Jam in the rap song 100 Miles and Runnin'""]",Court's Summary,
,157,Elizabeth Coffey,Forever After,[],Madonna,Nothing Really Matters,[],FALSE,[],,
,158,Tia Griffin,Heart of Gold,"[""Plaintiff Tia Griffin is the owner of registered copyright SRu 339-822 which pertains to a song titled 'Heart of Gold.'""]",Luther Vandross,Dance With My Father,"[""Defendant Vandross recorded 'Dance' in February 2003.""]",TRUE,"[""'Dance' contains an identical recapitulating sequence of notes (transposed in a minor third), employs the same pulse and rhythmic pattern.""]",ORDER GRANTING DEFENDANTS MOTION FOR SUMMARY JUDGMENT,
,159,Calvin R. Johnson,Youre the One (For Me),"['plaintiff composed two versions of the song Youre the One (For Me), a short version and a long version.']",SWV,Youre the One,"[""defendants copied parts of his musical composition 'Youre the One (For Me)' in order to produce a song entitled 'Youre the One.'""]",TRUE,['the melody behind the lyric of defendants song Youre the one for me is a variation of the lyrics of plaintiffs short version.'],Comments and opinions,
,160,D.J. Jubilee,Back That Ass Up,"['In 1997, ... Jerome Temple, professionally known as D.J. Jubilee ... recorded his song and entitled it Back That Ass Up.']",Juvenile,Back That Azz Up,"['Terius Gray, professionally known as Juvenile, ... recorded his song and entitled it Back That Azz Up.']",FALSE,[],,
,161,Ralph Vargas and Bland-Ricky Roberts,Bust Dat Groove Without Ride,"[""Plaintiffs allege that Pfizer's national advertising campaign for its Celebrex product uses key musical themes from their musical composition and sound recording titled 'Bust Dat Groove Without Ride'.""]",Brian Transeau,Advertisement for Celebrex,"[""Defendants move for summary judgment dismissing the action, arguing that Plaintiffs' musical composition... lacks the requisite originality for copyright protection.""]",FALSE,"[""Defendants contend that Bust Dat Groove lacks originality because, as a 'one-bar drum rhythm,' it is a common groove track.""]",Comments and opinions,
,162,Yong Wang,Send My Comrade to Beijing,"[""In 1959, Plaintiff wrote the song 'Send My Comrades to Beijing' in admiration of the Communist Party leader Mao.""]",Zhengben Zhu,Farewell to the Red Army,"[""Defendant...wrote his music piece 'Farewell to the Red Army' using another version of the folk song 'Long'.""]",TRUE,['The courts found that Defendants song shows a striking similarity with Plaintiffs song.'],comments_and_opinions,
,163,Sergio Endrigo,Nelle mie notti,"[""Endrigo's infringement allegation centered on the melodic similarity, virtual identity, he claimed, between the first four measures of the principal melody of his song.""]",Luis Bacalov,Il Postino,['Luis Bacalov won an Academy Award for his score for the 1994 movie Il Postino.'],TRUE,['the plaintive tune played on a bandoneon that emerges out of Bacalovs Mahler-derivative introduction.'],Comments and opinions,
,164,Carl Boone,Holla Back,"['Plaintiff argues that the district court improperly dismissed her copyright claim with respect to two versions of her song ""Holla Back"".']",Fabolous,Young 'N,"[""Defendants produced the work 'Young N.'""]",TRUE,"['Plaintiff\'s expert claimed that defendants song shared three fundamental similarities with ""Holla Back,"" which evidenced actual copying.']",Comments and opinions,
,166,Jennifer Armour,Got a Little Bit of Love for You,[],Beyonce,Baby Boy,[],FALSE,[],,
,167,Robert Jones,Singing in the Morning,[],The Notorious B.I.G.,Ready to Die,[],FALSE,[],,
,168,Luther Campbell,It's Your Birthday,"[""Plaintiff asserted that the defendants rap song 'In Da Club' infringes on its copyright for its rap song 'It's Your Birthday.'""]",50 Cent,In Da Club,"[""Defendants rap song 'In Da Club' infringes on its copyright for its rap song 'It's Your Birthday.'""]",FALSE,[],,
,169,Lo,Lianshang Love Song,[],Hu,Bye Bye My Lover!,[],FALSE,[],,
,170,Ralph Vargas,Aparthenonia,[],BT,Bust Dat Groove Without Ride,[],FALSE,[],,
,171,Victor Velez,Hasta Hoy,['This dispute is another instance of... structural similarity based merely on the fact that both songs use 4- and 8-bar phrases in common time.'],Victor Manuelle,Tengo Ganas,['both songs use 4- and 8-bar phrases in common time'],TRUE,"['the Opinion carefully compares the sequences of pitches in the melodies of the two songs, demonstrating that they are utterly dissimilar.']",Comments and Opinions,
,172,Chris Lester,Nowhere Fast,"[""Chris Lester alleges that he composed, recorded, and registered his song 'Nowhere Fast.'""]",U2,Vertigo,"[""U2 had access to and copied a substantial portion of the song in 'Vertigo.'""]",TRUE,"[""U2 had access to and copied a substantial portion of the song in 'Vertigo.'""]",Comments and opinions,
,173,Xu Ruhui,The Mother as Slave,"['complaining_work: Arrangements of Chinese Operas, including: The Mother as Slave']",Yang Feifei,The Mother as Slave,"['defending_work: Recording of popular vocal numbers from Chinese Operas, including a portion of The Mother as Slave']",TRUE,[],,
,174,Corey Glover,Make Up Your Mind,"[""the plaintiffs alleged that the defendants song 'Unpretty'... infringed on the plaintiffs rights in their song 'Make Up Your Mind'""]",TLC,Unpretty,"[""the defendants song 'Unpretty,' which was commercially released in February 1999.""]",TRUE,['the court found convincing testimony... that... three of the four main harmonies in the songs were identical'],comments_and_opinions,
,175,Jud's Gallery,Nordrach,['the Plaintiffs protectable musical expression is represented in his audio recording'],Gary Moore,Still Got the Blues,"['Gary Moore (British, like Harrison) was found liable']",TRUE,['the Courts inference of his unconscious copying of the Plaintiffs guitar riff.'],Comments and opinions,
,176,Ram Sampath,The Thump,"[""The Plaintiff, Ram Sampath, is a composer who was engaged by Sony Ericsson to create the jingle 'The Thump'.""]",Vishal Dadlani,Krazzy 4 (Remix),['Defendants movie KRAZZY 4 incorporated the main melodic hook from The Thump in at least 2 songs.'],TRUE,['the melodic hook recurs throughout both the defending works.'],Comments and opinions,
,176,Ram Sampath,The Thump,['the melodic hook recurs throughout both the defending works Krazzy 4 (Remix).'],Vishal Dadlani,Breakfree (Remix),['the melodic hook recurs throughout both the defending works Break Free (Remix).'],TRUE,['the melodic hook recurs throughout both the defending works.'],Comments and opinions,
,178,Dustin Evans,Good Ol' Days to Come,"[""In October 2003, the plaintiffs collaborated on a musical composition titled 'Good Ol Days to Come.'""]",Phil Vassar,Good Ole Days,"[""Defendant Vassar and Craig Wiseman... wrote a song called 'Good Ole Days.'""]",TRUE,"['The court determined that while it perceived certain similarities between the choruses of the songs, these were overwhelmed by differences.']",Court's Opinion,
,179,Samuel Steele,Man I Really Love This Team,['allegations that the defendants copied the meaning of the lyrics of the plaintiffs song'],Jon Bongiovi,I Love This Town,"['the music and lyrics of another performer, Jon Bongiovi']",FALSE,[],,
,180,George Clinton,Atomic Dog,"[""Bridgeport claims that 'D.O.G. in Me' infringed its copyright on Clintons 'Atomic Dog' based on the use of the phrase 'Bow wow wow, yippie yo, yippie yea.'""]",Public Announcement,D.O.G. In Me,"[""Public Announcement... released the song 'D.O.G. in Me' on their All Work, No Play album.""]",TRUE,"['Defendants acknowledged that their work contained bits of the plaintiffs song.', ""The musical bits in question were the spoken syllable 'bow' that periodically punctuates the defendants song.""]",Comments and Opinions,
,181,Tim Acker,Party Ain't Crunk,"['Plaintiffs claim that a song by Blige, Family Affair, infringed a song created by Plaintiffs, Party Aint Crunk.']",Mary J. Blige,Family Affair,['the court determined...that there was little likelihood that those creating the Blige song had any access to the plaintiffs number.'],TRUE,['the songs are musically similar insofar as they share an ongoing duple rhythmic tattoo and a mostly monotone vocal line that maps to it.'],Comments and Opinions,
,182,Joe Satriani,If I Could Fly,['The melodies of the two songs sound somewhat alike.'],Coldplay,Viva la Vida,"[""Coldplay, with an envy-provoking lucrative hit ('Viva la vida').""]",TRUE,['The shared musical expression is rather minimal: a two-measure motif involving a descending third.'],Comments and opinions,
,183,WEH,Heartbeat,[],Sophie Ellis-Bextor,Get Over You,[],FALSE,[],,
,184,David & Peter Currin,I'm Frontin',"['plaing Im Frontin, which they authored in or about 1993.']",Pharrell Williams,Frontin',"['allegedly infringing work.', 'though both falling within the hip-hop genre, are markedly different']",FALSE,"[""Judge Martinez's earlier findings note the total concept and feel of the two works are completely different.""]",Comments and opinions,
,185,Marion Sinclair,Kookaburra Sits in the Old Gum Tree,"['The plaintiff Larrikin, a small music publisher in Sydney, had legal title to the copyright in this song.']",Men at Work,Down Under,"[""The two recordings of 'Down Under' by the Australian pop group 'Men at Work' reproduced 'a substantial part' of 'Kookaburra'.""]",TRUE,"[""Dr Ford said in his first report that 'the resemblance is exact' and that the two musical phrases in Down Under 'are too long and also contain too much musical information for their appearances to be coincidental.""]",Comments and opinions,
,186,Preston Marshall,You are the One,"[""Description of the complaining work includes 'You are the One'.""]",Mariah Carey,My Love,"[""Description of the defending work includes 'My Love'.""]",FALSE,[],,
,187,Robert Prunte,Fire in the Hole,"[""Mr. Prunte contends that defendants song 'Fire in Da Hole' by Black Rob infringes his work 'Fire in the Hole'.""]",Black Rob,Fire in Da Hole,"[""Mr. Prunte contends that defendants song 'Fire in Da Hole' by Black Rob infringes his work 'Fire in the Hole'.""]",TRUE,"['None of the elements that Mr. Prunte argues are similar are protectible, thus failing to demonstrate substantial similarity.']",Court's Opinion,
,187,Robert Prunte,"God, Pick Up the Phone","[""Mr. Prunte alleges that defendants song 'Lord, Give Me a Sign' infringes his song 'God, Pick Up the Phone'.""]",DMX,"Lord, Give Me a Sign","[""Mr. Prunte alleges that defendants song 'Lord, Give Me a Sign' infringes his song 'God, Pick Up the Phone'.""]",TRUE,"['Such an idea is precisely the type of broad, general concept not safeguarded by copyright.']",Court's Opinion,
,187,Robert Prunte,Im So High,"[""Mr. Pruntes claim concerns similarities between his song 'Im So High' and 'So High' by John Legend.""]",John Legend,So High,"[""Mr. Pruntes claim concerns similarities between his song 'Im So High' and 'So High' by John Legend.""]",FALSE,"[""Neither titles nor short phrases such as 'so high' are protectible.""]",Court's Opinion,
